ds,y
9/4/2012,957.21
9/5/2012,1121.68
9/6/2012,908.7
9/7/2012,1000.82
9/8/2012,1044.27
9/9/2012,755.98
9/10/2012,594.93
9/11/2012,488.82
9/12/2012,736.5
9/13/2012,823.98
9/14/2012,853.6
9/15/2012,744.36
9/16/2012,419.14
9/17/2012,738.97
9/18/2012,900.03
9/19/2012,520.14
9/20/2012,607.55
9/21/2012,770.24
9/22/2012,792.13
9/23/2012,471.63
9/24/2012,474.32
9/25/2012,670
9/26/2012,855.73
9/27/2012,845.47
9/28/2012,856.1
9/29/2012,463.05
9/30/2012,403.63
10/1/2012,539.2
10/2/2012,714.12
10/3/2012,869.23
10/4/2012,934.01
10/5/2012,689.39
10/6/2012,459.62
10/7/2012,419.86
10/8/2012,401.92
10/9/2012,461.66
10/10/2012,476.71
10/11/2012,457.71
10/12/2012,484.23
10/13/2012,449.6
10/14/2012,416.05
10/15/2012,661.5
10/16/2012,469.16
10/17/2012,487.64
10/18/2012,561.04
10/19/2012,660.84
10/20/2012,563.54
10/21/2012,419.89
10/22/2012,465.86
10/23/2012,536.58
10/24/2012,460.64
10/25/2012,460.86
10/26/2012,601.95
10/27/2012,410.21
10/28/2012,402.09
10/29/2012,316.96
10/30/2012,
10/31/2012,59.43
11/1/2012,407.52
11/2/2012,432.11
11/3/2012,433.03
11/4/2012,433.21
11/5/2012,470.59
11/6/2012,443.22
11/7/2012,470.51
11/8/2012,472.43
11/9/2012,484.13
11/10/2012,450.25
11/11/2012,425.14
11/12/2012,417.89
11/13/2012,468.3
11/14/2012,488.47
11/15/2012,482.51
11/16/2012,483.36
11/17/2012,454.3
11/18/2012,440.19
11/19/2012,480.39
11/20/2012,476.62
11/21/2012,476.13
11/22/2012,423.06
11/23/2012,450.86
11/24/2012,425.37
11/25/2012,419.45
11/26/2012,470.14
11/27/2012,481.58
11/28/2012,489.4
11/29/2012,493.13
11/30/2012,488.35
12/1/2012,454.15
12/2/2012,437.39
12/3/2012,470.22
12/4/2012,455.47
12/5/2012,475.41
12/6/2012,496.95
12/7/2012,495.32
12/8/2012,455.94
12/9/2012,443.54
12/10/2012,444.06
12/11/2012,441.05
12/12/2012,458.95
12/13/2012,452.85
12/14/2012,451.83
12/15/2012,416.77
12/16/2012,374.48
12/17/2012,436.33
12/18/2012,438.18
12/19/2012,443.97
12/20/2012,460.91
12/21/2012,445.2
12/22/2012,425.48
12/23/2012,383.28
12/24/2012,440.24
12/25/2012,396.93
12/26/2012,441.32
12/27/2012,444.33
12/28/2012,445.76
12/29/2012,401.01
12/30/2012,359.21
12/31/2012,419.85
1/1/2013,383.38
1/2/2013,394.03
1/3/2013,421.56
1/4/2013,420.51
1/5/2013,374.88
1/6/2013,350.2
1/7/2013,411.58
1/8/2013,417.28
1/9/2013,418.31
1/10/2013,423.38
1/11/2013,424.06
1/12/2013,376.02
1/13/2013,334.73
1/14/2013,364.04
1/15/2013,356.86
1/16/2013,358.22
1/17/2013,404.54
1/18/2013,424.13
1/19/2013,410.36
1/20/2013,373.81
1/21/2013,390.47
1/22/2013,383.45
1/23/2013,408.5
1/24/2013,394.84
1/25/2013,426.69
1/26/2013,404.66
1/27/2013,375.62
1/28/2013,433.72
1/29/2013,428.72
1/30/2013,414.13
1/31/2013,412.97
2/1/2013,417.37
2/2/2013,376.16
2/3/2013,352.14
2/4/2013,404.41
2/5/2013,432.93
2/6/2013,438.37
2/7/2013,440.99
2/8/2013,407.99
2/9/2013,413.65
2/10/2013,377.53
2/11/2013,432.64
2/12/2013,444
2/13/2013,439.18
2/14/2013,439.22
2/15/2013,435.8
2/16/2013,407.38
2/17/2013,370.42
2/18/2013,409.33
2/19/2013,440.34
2/20/2013,383.24
2/21/2013,428.96
2/22/2013,438.02
2/23/2013,405.5
2/24/2013,366.07
2/25/2013,439.46
2/26/2013,447.61
2/27/2013,432.3
2/28/2013,434.68
3/1/2013,433.9
3/2/2013,370.85
3/3/2013,378.08
3/4/2013,430.66
3/5/2013,428.58
3/6/2013,421.5
3/7/2013,422.16
3/8/2013,419.48
3/9/2013,395.84
3/10/2013,349.29
3/11/2013,421.3
3/12/2013,427.5
3/13/2013,434.68
3/14/2013,435.47
3/15/2013,433.71
3/16/2013,399.64
3/17/2013,361.85
3/18/2013,432.46
3/19/2013,437.73
3/20/2013,434.88
3/21/2013,433.3
3/22/2013,433.63
3/23/2013,403.41
3/24/2013,362.86
3/25/2013,427.84
3/26/2013,437.81
3/27/2013,431.41
3/28/2013,434.09
3/29/2013,426.4
3/30/2013,398.18
3/31/2013,358.26
4/1/2013,417.4
4/2/2013,437.81
4/3/2013,434.47
4/4/2013,434.08
4/5/2013,430.66
4/6/2013,398.85
4/7/2013,341.43
4/8/2013,390.69
4/9/2013,402.67
4/10/2013,424.72
4/11/2013,420.79
4/12/2013,441.09
4/13/2013,403.44
4/14/2013,356.05
4/15/2013,428.5
4/16/2013,425.17
4/17/2013,419.96
4/18/2013,429.72
4/19/2013,411.7
4/20/2013,387.24
4/21/2013,351.66
4/22/2013,442.99
4/23/2013,466.6
4/24/2013,454.63
4/25/2013,455.72
4/26/2013,450.21
4/27/2013,406.34
4/28/2013,367.96
4/29/2013,431.43
4/30/2013,444.66
5/1/2013,443.83
5/2/2013,444.64
5/3/2013,437.64
5/4/2013,395.35
5/5/2013,357.63
5/6/2013,431.58
5/7/2013,449.83
5/8/2013,432.84
5/9/2013,448.28
5/10/2013,449.8
5/11/2013,393.13
5/12/2013,339.14
5/13/2013,413.98
5/14/2013,413.25
5/15/2013,419.74
5/16/2013,497.22
5/17/2013,443.39
5/18/2013,395.15
5/19/2013,365.58
5/20/2013,485.1
5/21/2013,528.55
5/22/2013,625.01
